,event_time,title,pageviews
0,2011-01-19,1080p,118833
1,2011-01-19,A-bomb,119322
2,2011-01-19,Academy_Award_for_Best_Picture,119421
3,2011-01-19,Agile_software_development,118829
4,2011-01-19,Alicia_Keys,117251
5,2011-01-19,Andrew_Wakefield,117946
6,2011-01-19,Anxiety,117340
7,2011-01-19,Ashley_Greene,118354
8,2011-01-19,Aspirin,117370
9,2011-01-19,Barcelona,118848
10,2011-01-19,Basketball_Wives,116971
11,2011-01-19,Battle:_Los_Angeles,116494
12,2011-01-19,Beer,116244
13,2011-01-19,Bikini_waxing,117218
14,2011-01-19,Brain,117246
15,2011-01-19,Bruce_Jenner,115850
16,2011-01-19,CSI:_NY,118555
17,2011-01-19,Cain_Velasquez,116280
18,2011-01-19,Capital_punishment,115863
19,2011-01-19,Chlo%C3%AB_Sevigny,116830
20,2011-01-19,Color,116188
21,2011-01-19,Cunt,118074
22,2011-01-19,Database,116548
23,2011-01-19,Dead_Space_(video_game),116856
24,2011-01-19,Death,118972
25,2011-01-19,Density,118827
26,2011-01-19,Diamond,118977
27,2011-01-19,Douche,118328
28,2011-01-19,Easter,117556
29,2011-01-19,Edward_Norton,117497
30,2011-01-19,Edward_VII_of_the_United_Kingdom,118267
31,2011-01-19,Electronic_cigarette,116251
32,2011-01-19,Eric_Clapton,119127
33,2011-01-19,Ewan_McGregor,118800
34,2011-01-19,Fever,118503
35,2011-01-19,GSM,117847
36,2011-01-19,Generation_X,119375
37,2011-01-19,Genesis_(2011),116782
38,2011-01-19,Gisele_B%C3%BCndchen,118712
39,2011-01-19,Gulliver%27s_Travels_(2010_film),118714
40,2011-01-19,Horse,119234
41,2011-01-19,How_i_met_your_mother,118713
42,2011-01-19,Human_chorionic_gonadotropin,116753
43,2011-01-19,Hustle_(TV_series),117399
44,2011-01-19,IPv6,117629
45,2011-01-19,Iraq_War,116855
46,2011-01-19,Iron_Man_(film),119359
47,2011-01-19,James_Earl_Ray,119183
48,2011-01-19,Jane_Austen,118536
49,2011-01-19,Jazz,119184
50,2011-01-19,Jeff_Hardy,119173
51,2011-01-19,John_Adams,118258
52,2011-01-19,Josh_Duhamel,119020
53,2011-01-19,Julianne_Moore,118213
